id,zipcode,lat,long,School_Name,School_Zipcode,District,School_Type,Distance to School(miles)
9468200125,98103,47.6779,-122.353,St. John Catholic School,98103,SEATTLE,School-Elementary,0.61509855
8029510030,98023,47.3076,-122.395,Green Gables Elementary School,98023,FEDERAL WAY,School-Elementary,0.12220678
2025069065,98074,47.6338,-122.072,Elizabeth Blackwell Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.41119277
7899800890,98106,47.5218,-122.357,Holy Family Bilingual Catholic School,98106,SEATTLE,School-Elementary,0.35185513
3021059276,98002,47.2785,-122.213,Gildo Rey Elementary School,98002,AUBURN,School-Elementary,0.11908802
3797001895,98103,47.6846,-122.345,Daniel Bagley Elementary School,98103,SEATTLE,School-Elementary,0.16493255
3832710960,98032,47.3656,-122.278,Totem MIddle School,98032,FEDERAL WAY,School-Junior High/Middle,0.26326571
1310430400,98058,47.4369,-122.111,Northwood Middle School,98058,KENT,School-Junior High/Middle,0.14622633
1422300030,98045,47.4616,-121.711,Twin Falls Middle School,98045,SNOQUALMIE VALLEY,School-Junior High/Middle,0.84735883
1105000588,98118,47.5405,-122.27,Brighton School,98118,SEATTLE,School-Elementary,0.33372447
3830630060,98030,47.3507,-122.178,Pine Tree Elementary School,98030,KENT,School-Elementary,0.33961791
5101404898,98115,47.6979,-122.32,Olympic View Elementary School-Seattle,98115,SEATTLE,School-Elementary,0.06242641
7972601890,98106,47.5278,-122.345,Highland Park Elementary School,98106,SEATTLE,School-Elementary,0.23779039
5127001620,98059,47.4756,-122.147,Maplewood Heights Elementary School,98059,RENTON,School-Elementary,0.46927492
9407100800,98045,47.4437,-121.772,Opstad Elementary School,98045,SNOQUALMIE VALLEY,School-Elementary,2.52792137
1873100060,98052,47.7048,-122.109,Albert Einstein Elementary School,98052,LAKE WASHINGTON,School-Elementary,0.53416067
8722101360,98112,47.6362,-122.302,Seattle Hebrew Academy,98112,SEATTLE,School-Elementary,0.3021369
8644000060,98198,47.4207,-122.29,Madrona Elementary School,98198,HIGHLINE,School-Elementary,0.15010338
3325069129,98074,47.6154,-122.047,Margaret Mead Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.75766701
1400300055,98144,47.5964,-122.299,Seattle Girls School,98144,SEATTLE,School-Junior High/Middle,0.23477037
2123039032,98070,47.4683,-122.438,Harbor School,98070,VASHON ISLAND,School-Alternative,1.05209882
8078560140,98031,47.4045,-122.171,Soos Creek Elementary School,98031,KENT,School-Elementary,0.12043535
3438500192,98106,47.5544,-122.358,Louisa Boren STEM K-8 School,98106,SEATTLE,School-Alternative,0.44263616
7974200510,98115,47.6802,-122.29,Concordia Lutheran School,98115,SEATTLE,School-Elementary,0.04686679
2557000400,98023,47.2988,-122.371,Brigadoon Elementary School,98023,FEDERAL WAY,School-Elementary,0.34425302
7960900060,98004,47.6312,-122.223,Clyde Hill Elementary School,98004,BELLEVUE,School-Elementary,0.52364152
4054500390,98077,47.7285,-122.042,Laura Ingalls Wilder Elementary School,98077,LAKE WASHINGTON,School-Elementary,0.61949966
6378500125,98133,47.7107,-122.352,Christ the King School,98133,SEATTLE,School-Elementary,0.23287965
1745100140,98003,47.3271,-122.323,St. Vincent De Paul School,98003,FEDERAL WAY,School-Elementary,0.07662204
2976800796,98178,47.5053,-122.255,Amazing Grace Christian School,98178,SEATTLE,School-Elementary,0.44373352
4235400186,98199,47.6601,-122.4,Lawton Elementary School,98199,SEATTLE,School-Elementary,0.51573368
4215100060,98031,47.4145,-122.166,Kentridge High School,98031,KENT,School-High,0.40154001
9189700045,98058,47.4672,-122.165,Tiffany Park Elementary School,98058,RENTON,School-Elementary,0.64841124
1126049053,98028,47.7618,-122.261,Kenmore Elementary School,98028,NORTHSHORE,School-Elementary,0.81961521
2022069200,98038,47.3828,-122.071,Lake Wilderness Elementary School,98038,TAHOMA,School-Elementary,1.12390038
9412900055,98118,47.5362,-122.268,Brighton School,98118,SEATTLE,School-Elementary,0.56480298
1722059235,98031,47.3954,-122.206,Park Orchard Elementary School,98031,KENT,School-Elementary,0.58323449
6874200960,98178,47.5048,-122.272,St. Paul School,98178,SEATTLE,School-Elementary,0.57979967
7424700045,98122,47.6166,-122.287,Epiphany School,98122,SEATTLE,School-Elementary,0.1044005
7202360350,98053,47.6811,-122.025,Rosa Parks Elementary School,98053,LAKE WASHINGTON,School-Elementary,0.54750193
5634500392,98028,47.7486,-122.23,Inglemoor High School,98028,NORTHSHORE,School-High,0.64299659
1509500060,98030,47.3846,-122.169,Martin Sortun Elementary School,98030,KENT,School-Elementary,0.4419102
7214810350,98072,47.7564,-122.144,Chrysalis School,98072,NORTHSHORE,School-K-12,0.24653201
6647200060,98034,47.7198,-122.193,Helen Keller Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.36751354
9552700140,98006,47.5461,-122.151,Forest Ridge School of the Sacred Heart,98006,BELLEVUE,School-High,0.91171645
2200500350,98006,47.5712,-122.143,Eastgate Elementary School,98006,BELLEVUE,School-Elementary,0.24970469
6113400046,98166,47.4281,-122.343,Marvista Elementary School,98166,HIGHLINE,School-Elementary,0.21972416
6619910140,98034,47.7128,-122.223,Carl Sandburg Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.40785922
1115450240,98001,47.3341,-122.255,Meredith Hill Elementary School,98001,FEDERAL WAY,School-Elementary,0.29852399
6073240060,98056,47.5399,-122.181,Hazelwood Elementary School-Newcastle,98056,RENTON,School-Elementary,0.19764773
9297300045,98126,47.5717,-122.375,West Seattle High School,98116,SEATTLE,School-High,0.6014072
9510920070,98075,47.5951,-122.017,Skyline High School,98075,ISSAQUAH,School-High,0.75306704
5468730030,98042,47.3536,-122.144,Horizon Elementary School,98042,KENT,School-Elementary,0.37211353
8079030390,98059,47.5084,-122.154,Hazen High School,98059,RENTON,School-High,0.472979
600000152,98108,47.5586,-122.311,St George Parish School,98108,SEATTLE,School-Elementary,0.3148734
1840000030,98188,47.4427,-122.274,Seattle Christian School,98188,HIGHLINE,School-K-12,0.29288341
9126100861,98122,47.6055,-122.305,James A. Garfield High School,98122,SEATTLE,School-High,0.15013443
3420069065,98022,47.1775,-122.022,Sunrise Elementary School-Enumclaw,98022,ENUMCLAW,School-Elementary,0.65009776
6021501685,98117,47.6879,-122.385,Loyal Heights Elementary School,98117,SEATTLE,School-Elementary,0.21384787
1151100070,98045,47.4807,-121.779,Opstad Elementary School,98045,SNOQUALMIE VALLEY,School-Elementary,0.56403405
8856950240,98038,47.3845,-122.032,Lake Wilderness Elementary School,98038,TAHOMA,School-Elementary,0.70568784
9385200055,98116,47.5815,-122.402,Alki Elementary School,98116,SEATTLE,School-Elementary,0.40514266
7821200390,98103,47.6609,-122.344,Cascadia Elementary School,98103,SEATTLE,School-Alternative,0.20275029
8078520310,98092,47.3163,-122.188,Green River College,98092,AUBURN,School-College or University,0.60548521
1565950030,98055,47.4309,-122.191,Benson Hill Elementary School,98058,RENTON,School-Elementary,0.32139364
1560930070,98038,47.401,-122.026,Tahoma Elementary School,98038,TAHOMA,School-Elementary,0.68317121
6700400140,98031,47.404,-122.191,Emerald Park Elementary School,98031,KENT,School-Elementary,0.54461185
2422029094,98070,47.3889,-122.482,Vashon Island High School,98070,VASHON ISLAND,School-High,2.63718706
1774220160,98077,47.7718,-122.095,Leota Jr High School,98072,NORTHSHORE,School-Junior High/Middle,1.03315695
1525200060,98034,47.7067,-122.2,Alexander Graham Bell Elementary School,98033,LAKE WASHINGTON,School-Elementary,0.52378622
1678400105,98178,47.504,-122.227,Bryn Mawr Elementary School,98178,RENTON,School-Elementary,0.42505358
3426059070,98052,47.7015,-122.164,Lake Washington Institute of Technology Kirkland Campus,98034,LAKE WASHINGTON,School-College or University,0.25340211
824079032,98024,47.5753,-121.95,Cascade Ridge Elementary School,98075,ISSAQUAH,School-Elementary,1.54000654
2697100140,98133,47.7448,-122.333,Parkwood Elementary School,98133,SHORELINE,School-Elementary,0.32208475
8724300030,98019,47.7318,-121.982,Cherry Valley Elementary School,98019,RIVERVIEW,School-Elementary,1.06128107
8678500060,98024,47.5954,-121.95,Cascade Ridge Elementary School,98075,ISSAQUAH,School-Elementary,1.11798916
625049299,98103,47.6885,-122.337,Bishop Blanchet High School,98103,SEATTLE,School-High,0.10986773
6073200075,98006,47.5724,-122.179,Newport High School,98006,BELLEVUE,School-High,0.46595545
6388900710,98056,47.5272,-122.169,Newcastle Elementary School,98059,ISSAQUAH,School-Elementary,0.42634014
1442860160,98058,47.4334,-122.161,Carriage Crest Elementary School,98058,KENT,School-Elementary,0.36696544
7942600310,98122,47.6073,-122.308,Lake Washington Girls Middle School,98122,SEATTLE,School-Junior High/Middle,0.15896274
1545808560,98038,47.3592,-122.046,Tahoma High School,98038,TAHOMA,School-High,0.81111581
936000060,98166,47.4546,-122.337,Sylvester Middle School,98166,HIGHLINE,School-Junior High/Middle,0.21613686
9808650060,98004,47.6408,-122.219,Clyde Hill Elementary School,98004,BELLEVUE,School-Elementary,0.73771505
3754700160,98034,47.7245,-122.2,Helen Keller Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.20155914
305500140,98058,47.4362,-122.178,Meeker Middle School,98058,KENT,School-Junior High/Middle,0.43917469
5468750060,98042,47.3739,-122.156,Meridian Elementary School,98042,KENT,School-Elementary,0.14263671
2944010240,98052,47.7205,-122.127,Sunrise Elementary School-Northshore,98052,NORTHSHORE,School-Elementary,0.9842258
3454000060,98103,47.6636,-122.33,The Meridian School,98103,SEATTLE,School-Elementary,0.07146649
646910160,98055,47.4324,-122.197,Benson Hill Elementary School,98058,RENTON,School-Elementary,0.48440368
8564950390,98011,47.7734,-122.224,Soreson Early Childhood Center,98011,NORTHSHORE,School-Alternative,0.18114685
2268400350,98006,47.559,-122.164,Forest Ridge School of the Sacred Heart,98006,BELLEVUE,School-Junior High/Middle,0.37907851
7504101040,98074,47.633,-122.041,Margaret Mead Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.75948389
11500890,98052,47.6954,-122.103,Redmond High School,98052,LAKE WASHINGTON,School-High,0.1624158
9528102772,98115,47.6776,-122.318,Roosevelt High School,98115,SEATTLE,School-High,0.24931466
284000223,98146,47.504,-122.382,Arbor Heights Elementary School,98146,SEATTLE,School-Elementary,0.4437895
3353401710,98001,47.2613,-122.255,Alpac Elementary School,98047,AUBURN,School-Elementary,0.72488557
8159610030,98001,47.3417,-122.271,Thomas Jefferson High School,98001,FEDERAL WAY,School-High,0.41228196
3179100435,98105,47.6694,-122.275,Villa Academy School,98105,SEATTLE,School-Elementary,0.39771562
822079033,98038,47.4056,-121.955,Tahoma Elementary School,98038,TAHOMA,School-Elementary,2.81679363
8857600960,98032,47.3838,-122.289,Sunnycrest Elementary School,98032,FEDERAL WAY,School-Elementary,0.39113094
1774000200,98072,47.7487,-122.082,Cottage Lake Elementary School,98077,NORTHSHORE,School-Elementary,0.29846637
2024069128,98027,47.5534,-122.078,Sunset Elementary School,98008,ISSAQUAH,School-Elementary,1.53033407
1049010390,98034,47.7355,-122.18,Woodmoor Elementary School,98011,NORTHSHORE,School-Elementary,0.48153094
7905370390,98034,47.7206,-122.211,Juanita Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.19372419
4140090240,98028,47.7691,-122.262,Kenmore Jr High School,98028,NORTHSHORE,School-Junior High/Middle,0.61374694
4055700030,98034,47.7183,-122.258,Bastyr University,98028,LAKE WASHINGTON,School-College or University,0.8764018
3775300030,98011,47.7736,-122.214,Saint Brendan Catholic School,98011,NORTHSHORE,School-Elementary,0.51367505
2525300030,98038,47.362,-122.029,Tahoma High School,98038,TAHOMA,School-High,0.29869069
1324059104,98006,47.5698,-122.121,Cougar Ridge Elementary School,98006,ISSAQUAH,School-Elementary,0.56730158
2287000030,98040,47.5505,-122.221,Island Park Elementary School,98040,MERCER ISLAND,School-Elementary,0.23785703
7702010030,98028,47.7605,-122.234,Bothell High School,98011,NORTHSHORE,School-High,0.70573046
1529200340,98072,47.7356,-122.157,John Muir Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.67113944
2122039094,98070,47.3844,-122.438,Vashon Island High School,98070,VASHON ISLAND,School-High,2.81279815
1742800030,98055,47.4904,-122.226,Dimmit Middle School,98178,RENTON,School-Junior High/Middle,0.32850367
1796360350,98042,47.3663,-122.089,Cedar Valley Elementary School,98042,KENT,School-Elementary,0.18889736
6154500070,98006,47.5637,-122.123,Cougar Ridge Elementary School,98006,ISSAQUAH,School-Elementary,0.2879076
1843100340,98042,47.3759,-122.125,Mattson Middle School,98042,KENT,School-Junior High/Middle,0.27674644
8944290160,98031,47.3912,-122.167,Meridian Middle School,98031,KENT,School-Junior High/Middle,0.62442376
4166600473,98023,47.3305,-122.371,Adelaide Elementary School,98023,FEDERAL WAY,School-Elementary,0.67946066
7282300125,98133,47.7617,-122.357,St. Luke School,98133,SHORELINE,School-Elementary,0.37652651
8658300340,98014,47.6499,-121.909,Carnation School,98014,RIVERVIEW,School-Elementary,0.15139734
2419600075,98133,47.7311,-122.353,Broadview-Thomson K-8 School,98133,SEATTLE,School-Elementary,0.4467286
2621760350,98042,47.3701,-122.107,Rainier Christian High School,98042,KENT,School-High,0.30547794
1723049270,98168,47.4857,-122.318,Cedarhurst Elementary School,98168,HIGHLINE,School-Elementary,0.34623919
4123840310,98038,47.3724,-122.042,Lake Wilderness Elementary School,98038,TAHOMA,School-Elementary,0.82514267
2172000075,98178,47.4855,-122.266,Campbell Hill Elementary School,98178,RENTON,School-Elementary,0.76355491
8651611170,98074,47.6336,-122.064,Elizabeth Blackwell Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.38107191
8820902200,98125,47.717,-122.281,Cedar Park Elementary School,98125,SEATTLE,School-Alternative,0.679311
8651610890,98074,47.6332,-122.066,Elizabeth Blackwell Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.3844419
1853080570,98074,47.5906,-122.062,Creekside Elementary School,98075,ISSAQUAH,School-Elementary,0.29439697
3629920030,98029,47.5461,-121.998,Grand Ridge Elementary School,98029,ISSAQUAH,School-Elementary,0.31869169
1604602050,98118,47.5674,-122.29,Hawthorne Elementary School,98118,SEATTLE,School-Elementary,0.32534775
6844700810,98115,47.6943,-122.29,Our Lady of the Lake School,98115,SEATTLE,School-Elementary,0.0587595
66000070,98126,47.5486,-122.38,Fairmount Park Elementary School,98126,SEATTLE,School-Elementary,0.27402926
6665800030,98033,47.6658,-122.188,International Community School,98033,LAKE WASHINGTON,School-Alternative,0.20010722
2205700350,98006,47.5772,-122.153,Tyee Middle School,98006,BELLEVUE,School-Junior High/Middle,0.35418734
5466000030,98042,47.3875,-122.161,Martin Sortun Elementary School,98030,KENT,School-Elementary,0.78621656
6189200125,98005,47.6344,-122.174,Cherry Crest Elementary School,98005,BELLEVUE,School-Elementary,0.411602
9169600135,98136,47.5275,-122.391,Gatewood Elementary School,98136,SEATTLE,School-Elementary,0.88677014
2625069070,98074,47.6179,-122.005,Rachel Carson Elementary School,98074,LAKE WASHINGTON,School-Elementary,0.49808364
8732131090,98023,47.3078,-122.378,Olympic View Elementary School-Federal Way,98023,FEDERAL WAY,School-Elementary,0.53323788
9286000240,98006,47.5521,-122.137,Hillside Student Community School,98006,ISSAQUAH,School-Junior High/Middle,0.59816233
1895000260,98118,47.5158,-122.264,Emerson Elementary School,98118,SEATTLE,School-Elementary,0.25946491
8691370400,98075,47.5985,-121.977,Cascade Ridge Elementary School,98075,ISSAQUAH,School-Elementary,0.53273707
5423010350,98027,47.5645,-122.082,Sunset Elementary School,98008,ISSAQUAH,School-Elementary,0.96256545
8562501040,98052,47.6734,-122.154,Rose Hill Middle School,98052,LAKE WASHINGTON,School-Junior High/Middle,0.38288283
2475200140,98055,47.4734,-122.186,Tiffany Park Elementary School,98058,RENTON,School-Elementary,0.66388952
7942100310,98042,47.3811,-122.087,Maple View Middle School,98042,TAHOMA,School-Junior High/Middle,0.82323947
3760000030,98034,47.7081,-122.215,Juanita Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.72633981
1727500340,98034,47.7193,-122.216,Juanita Elementary School,98034,LAKE WASHINGTON,School-Elementary,0.31447266
9828702519,98112,47.6192,-122.301,Edmonds S. Meany Middle School,98112,SEATTLE,School-Junior High/Middle,0.25987417
4432600075,98116,47.5836,-122.387,Lafayette Elementary School,98116,SEATTLE,School-Elementary,0.25518541
7806300030,98032,47.3841,-122.284,Sunnycrest Elementary School,98032,FEDERAL WAY,School-Elementary,0.25966686
9274202270,98116,47.5872,-122.39,Lafayette Elementary School,98116,SEATTLE,School-Elementary,0.52239301
7852030960,98065,47.5322,-121.88,Cascade View Elementary School-Snoqualmie,98065,SNOQUALMIE VALLEY,School-Elementary,0.196345
4083305445,98103,47.6518,-122.335,Alexander Hamilton International Middle School,98103,SEATTLE,School-Junior High/Middle,0.41459426
7855801610,98006,47.5619,-122.162,Forest Ridge School of the Sacred Heart,98006,BELLEVUE,School-Junior High/Middle,0.3441009
7940700260,98034,47.7148,-122.205,Juanita High School,98034,LAKE WASHINGTON,School-High,0.30046599
8854100350,98011,47.746,-122.218,Inglemoor High School,98028,NORTHSHORE,School-High,0.43134061
4365200860,98126,47.5222,-122.375,Roxhill Elementary School,98126,SEATTLE,School-Elementary,0.37181672
3904980030,98029,47.5756,-122.01,Challenger Elementary School,98029,ISSAQUAH,School-Elementary,0.30705837
7843500070,98042,47.3405,-122.058,Kentlake High School,98042,KENT,School-High,0.63638822
6067900060,98006,47.5433,-122.185,Risdon Middle School,98056,RENTON,School-Junior High/Middle,0.20075323
7202340960,98053,47.6799,-122.034,Rosa Parks Elementary School,98053,LAKE WASHINGTON,School-Elementary,0.35212322
1786640070,98042,47.39,-122.153,Sunrise Elementary School-Kent,98042,KENT,School-Elementary,1.02569272
259600260,98008,47.6329,-122.121,Sherwood Forest Elementary School-Bellevue,98008,BELLEVUE,School-Elementary,0.15953644
7234600903,98122,47.6124,-122.309,Seattle World School,98122,SEATTLE,School-Alternative,0.0684328
4307350200,98056,47.4802,-122.179,Renton Technical College,98056,RENTON,School-College or University,0.95111433
3276930400,98075,47.5839,-121.991,Beaver Lake Middle School,98029,ISSAQUAH,School-Junior High/Middle,0.73854141
4045100075,98040,47.5602,-122.227,Northwest Yeshiva High School,98040,MERCER ISLAND,School-High,0.36495229
1421069208,98010,47.3077,-122.011,Black Diamond Elementary School,98010,ENUMCLAW,School-Elementary,0.31830228
4057300200,98029,47.5707,-122.017,Challenger Elementary School,98029,ISSAQUAH,School-Elementary,0.76293061
1922059135,98030,47.3839,-122.225,Mill Creek Middle School,98032,KENT,School-Junior High/Middle,0.25065046
5014600240,98059,47.539,-122.188,Risdon Middle School,98056,RENTON,School-Junior High/Middle,0.16250911
1565900070,98022,47.2118,-121.983,Byron Kibler Elementary School,98022,ENUMCLAW,School-Elementary,0.64330634
3121059033,98092,47.2597,-122.228,Ilalko Elementary School,98092,AUBURN,School-Elementary,0.29555056
6799300270,98031,47.393,-122.184,Meridian Middle School,98031,KENT,School-Junior High/Middle,0.21130135
2021200370,98199,47.6347,-122.396,Catharine Blaine K-8 School,98199,SEATTLE,School-Elementary,0.59338063
726049190,98133,47.7493,-122.351,Shorewood High School,98133,SHORELINE,School-High,0.37407642
726049190,98133,47.7493,-122.351,Shorewood High School,98133,SHORELINE,School-High,0.37407642
4006000251,98118,47.5282,-122.279,Dunlap Elementary School,98118,SEATTLE,School-Elementary,0.2959581
3362400640,98103,47.682,-122.348,Daniel Bagley Elementary School,98103,SEATTLE,School-Elementary,0.39116106
1610000016,98168,47.4778,-122.286,Foster High School,98168,TUKWILA,School-High,0.35436912
7376300060,98008,47.6357,-122.123,Eton School,98008,BELLEVUE,School-Elementary,0.26937304
7300200550,98075,47.5771,-122.05,Pine Lake Middle School,98075,ISSAQUAH,School-Junior High/Middle,0.79538216
2061100570,98115,47.6898,-122.327,St. Catherine of Siena Parish School,98115,SEATTLE,School-Elementary,0.33456062
8856890200,98058,47.4622,-122.127,Maywood Middle School,98059,ISSAQUAH,School-Junior High/Middle,0.85094689
8731951670,98023,47.3102,-122.381,Twin Lakes Elementary School,98023,FEDERAL WAY,School-Elementary,0.52324148
4037200075,98008,47.6061,-122.117,Phantom Lake Elementary School,98008,BELLEVUE,School-Elementary,0.5510719
5066400483,98001,47.294,-122.281,Lakeland Elementary School,98001,FEDERAL WAY,School-Elementary,1.10110108
4167300310,98023,47.3272,-122.362,Adelaide Elementary School,98023,FEDERAL WAY,School-Elementary,0.2805271
8682262400,98053,47.7176,-122.033,Laura Ingalls Wilder Elementary School,98077,LAKE WASHINGTON,School-Elementary,0.42952981
8682262400,98053,47.7176,-122.033,Laura Ingalls Wilder Elementary School,98077,LAKE WASHINGTON,School-Elementary,0.42952981
6777800160,98032,47.3748,-122.276,Sunnycrest Elementary School,98032,FEDERAL WAY,School-Elementary,0.48989105
1402950550,98092,47.3337,-122.191,Hazelwood Elementary School-Auburn,98092,AUBURN,School-Elementary,0.46924103
2843200070,98168,47.5033,-122.3,Hilltop Elementary School,98168,HIGHLINE,School-Elementary,0.72340727
6450303785,98133,47.7321,-122.34,Edward S. Ingraham High School,98133,SEATTLE,School-High,0.41601022
9429500045,98006,47.5719,-122.119,Cougar Ridge Elementary School,98006,ISSAQUAH,School-Elementary,0.69072229
1443300140,98022,47.2477,-121.937,Thunder Mountain Middle School,98022,ENUMCLAW,School-Junior High/Middle,2.91498103
108000127,98177,47.7027,-122.361,Viewlands Elementary School,98177,SEATTLE,School-Elementary,0.22572016
1081300200,98059,47.4723,-122.121,Maywood Middle School,98059,ISSAQUAH,School-Junior High/Middle,0.29039292
8818900060,98105,47.6645,-122.325,F.A. McDonald International Elementary School,98105,SEATTLE,School-Alternative,0.27086107
3395050060,98011,47.7738,-122.203,Heritage Christian Academy,98011,NORTHSHORE,School-Elementary,0.28648944
7197350070,98052,47.6618,-122.136,Benjamin Rush Elementary School,98052,LAKE WASHINGTON,School-Elementary,0.10973077
9510900270,98023,47.3085,-122.376,Olympic View Elementary School-Federal Way,98023,FEDERAL WAY,School-Elementary,0.4325822
3905081070,98029,47.5691,-121.996,Endeavor Elementary School,98029,ISSAQUAH,School-Elementary,0.37218894
2322069114,98038,47.3841,-122.006,Summit Trail Middle School,98051,TAHOMA,School-Junior High/Middle,0.82314093
5637500070,98136,47.5446,-122.385,Gatewood Elementary School,98136,SEATTLE,School-Elementary,0.34127747
4164100160,98028,47.7557,-122.237,Bothell High School,98011,NORTHSHORE,School-High,0.89124172
4136890260,98092,47.2635,-122.209,Auburn Riverside High School,98092,AUBURN,School-High,0.68453972
3056800160,98059,47.4829,-122.128,Liberty High School,98059,ISSAQUAH,School-High,0.51701179
3654800200,98038,47.3898,-122.049,Lake Wilderness Elementary School,98038,TAHOMA,School-Elementary,0.41890136
2296500036,98056,47.5152,-122.197,Kennydale Elementary School,98056,RENTON,School-Elementary,0.1554732
623069068,98027,47.5081,-122.093,Briarwood Elementary School,98059,ISSAQUAH,School-Elementary,1.99188739
